Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Peak Memory (MB)
gemma-4-E2B-it-Q5_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",0.7515264900002876,4.370808693449999,"3.139, 5.726, 7.401, 8.583, 2.531, 4.598, 5.855, 2.876, 3.153, 6.485, 3.567, 3.017, 6.197, 2.537, 4.333, 4.596, 3.244, 2.684, 2.967, 3.928",31.729899463715576,5.8531217519048715,"5.92, 6.00, 5.97, 5.93, 5.87, 5.96, 5.95, 5.88, 5.88, 5.89, 5.85, 5.88, 5.79, 5.88, 5.79, 5.79, 5.70, 5.65, 5.69, 5.79",5123.234375
gemma-4-E2B-it-Q5_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,3.1516869533500085,"2.696, 3.307, 2.901, 3.576, 4.435, 4.218, 4.078, 3.106, 3.929, 2.138, 2.416, 2.617, 3.031, 2.696, 1.788, 2.281, 3.802, 3.241, 3.800, 2.979",32.28378002179827,5.676034774378897,"5.68, 5.71, 5.64, 5.67, 5.69, 5.69, 5.68, 5.69, 5.67, 5.68, 5.68, 5.67, 5.67, 5.67, 5.70, 5.67, 5.67, 5.68, 5.68, 5.67",5183.328125
gemma-4-E2B-it-Q5_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,3.011010677899958,"3.173, 1.789, 2.825, 2.069, 4.770, 2.759, 2.357, 3.243, 4.590, 2.965, 3.032, 2.980, 3.174, 2.967, 2.825, 4.148, 2.695, 2.899, 1.856, 3.106",32.75754563436492,5.7629559115812565,"5.77, 5.77, 5.77, 5.79, 5.78, 5.78, 5.78, 5.76, 5.75, 5.76, 5.75, 5.76, 5.76, 5.75, 5.76, 5.76, 5.77, 5.75, 5.75, 5.75",5222.328125
gemma-4-E2B-it-Q5_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.9469311349500003,"5.189, 4.284, 3.307, 4.627, 4.283, 3.577, 4.216, 3.580, 4.354, 3.658, 5.613, 3.238, 3.804, 2.893, 2.407, 2.895, 2.693, 6.651, 3.590, 4.079",34.00557929640654,5.744405761289081,"5.75, 5.76, 5.77, 5.76, 5.76, 5.77, 5.75, 5.76, 5.76, 5.75, 5.72, 5.73, 5.74, 5.70, 5.74, 5.74, 5.74, 5.70, 5.76, 5.75",5222.328125
gemma-4-E2B-it-Q4_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",1.9332531840000229,3.7873865917500096,"2.725, 4.971, 6.434, 7.412, 2.177, 3.971, 5.057, 2.481, 2.720, 5.610, 3.081, 2.607, 5.386, 2.222, 3.749, 4.001, 2.795, 2.345, 2.587, 3.418",36.612786824303,6.426146581086586,"6.51, 6.61, 6.60, 6.56, 6.54, 6.43, 6.36, 6.46, 6.46, 6.46, 6.48, 6.38, 6.33, 6.27, 6.39, 6.40, 6.23, 6.38, 6.28, 6.40",4707.40625
gemma-4-E2B-it-Q4_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,2.7296718344498005,"2.321, 2.846, 2.506, 3.080, 3.844, 3.672, 3.543, 2.705, 3.391, 1.859, 2.101, 2.252, 2.607, 2.347, 1.543, 1.963, 3.316, 2.815, 3.296, 2.585",37.28455023368771,6.25603300598543,"6.25, 6.25, 6.26, 6.27, 6.25, 6.27, 6.24, 6.25, 6.26, 6.26, 6.26, 6.28, 6.25, 6.28, 6.26, 6.25, 6.24, 6.24, 6.23, 6.26",4713.40625
gemma-4-E2B-it-Q4_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,2.6033057618499242,"2.736, 1.541, 2.457, 1.788, 4.122, 2.389, 2.021, 2.815, 3.947, 2.554, 2.610, 2.590, 2.744, 2.558, 2.460, 3.591, 2.340, 2.506, 1.592, 2.704",37.89278204719044,6.399597574390204,"6.36, 6.37, 6.37, 6.37, 6.39, 6.42, 6.41, 6.42, 6.42, 6.41, 6.41, 6.41, 6.42, 6.41, 6.41, 6.42, 6.42, 6.40, 6.38, 6.38",4752.453125
gemma-4-E2B-it-Q4_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.4120887096999466,"4.480, 3.703, 2.848, 3.998, 3.697, 3.084, 3.643, 3.085, 3.758, 3.159, 4.853, 2.817, 3.304, 2.483, 2.071, 2.508, 2.342, 5.755, 3.107, 3.546",39.338312888411274,6.393163257602382,"6.37, 6.37, 6.39, 6.37, 6.37, 6.38, 6.38, 6.38, 6.37, 6.38, 6.37, 6.42, 6.42, 6.38, 6.43, 6.42, 6.42, 6.38, 6.43, 6.43",4752.453125
gemma-4-E2B-it-Q3_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",1.0617981369996414,6.968953257900194,"5.018, 9.204, 11.955, 13.676, 3.963, 7.296, 9.345, 4.566, 5.013, 10.410, 5.682, 4.788, 9.855, 4.053, 6.864, 7.314, 5.077, 4.274, 4.741, 6.286",19.930343996130304,7.662968422985243,"7.80, 7.92, 7.78, 7.61, 7.56, 7.74, 7.69, 7.56, 7.56, 7.58, 7.59, 7.55, 7.70, 7.57, 7.75, 7.77, 7.59, 7.57, 7.59, 7.78",3294.21875
gemma-4-E2B-it-Q3_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,4.968401199399932,"4.176, 5.132, 4.571, 5.580, 7.042, 6.743, 6.523, 4.950, 6.189, 3.381, 3.830, 4.017, 4.702, 4.275, 2.775, 3.524, 6.072, 5.164, 5.971, 4.751",20.511428313077104,7.5781990401354395,"7.58, 7.59, 7.56, 7.59, 7.57, 7.61, 7.59, 7.56, 7.60, 7.60, 7.56, 7.58, 7.58, 7.59, 7.56, 7.58, 7.58, 7.56, 7.57, 7.58",3351.21875
