Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Peak Memory (MB)
llama3.2-3b-q5_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.0694103019995964,5.052229145650017,"3.707, 6.700, 8.198, 9.627, 2.802, 5.400, 7.016, 3.247, 3.470, 7.563, 4.305, 3.524, 7.061, 3.148, 4.859, 5.367, 3.473, 3.208, 3.691, 4.677",30.911134097798403,4.3159486505677105,"4.32, 4.34, 4.34, 4.31, 4.33, 4.30, 4.32, 4.31, 4.31, 4.32, 4.31, 4.33, 4.33, 4.29, 4.30, 4.31, 4.31, 4.31, 4.31, 4.32",4918.203125
llama3.2-3b-q5_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,3.7745616610002797,"3.354, 3.906, 3.579, 4.338, 5.172, 5.221, 5.246, 3.620, 4.615, 2.752, 3.261, 2.869, 3.427, 3.264, 2.115, 2.099, 4.495, 3.940, 4.618, 3.599",32.01573737184988,4.20623510602583,"4.30, 4.32, 4.32, 4.32, 4.31, 4.32, 4.16, 4.14, 4.14, 4.17, 4.15, 4.14, 4.15, 4.14, 4.16, 4.16, 4.18, 4.18, 4.19, 4.17",4947.71875
llama3.2-3b-q5_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,3.558487460249944,"3.615, 2.256, 3.147, 2.587, 5.555, 3.428, 2.810, 3.821, 5.334, 3.490, 3.602, 3.648, 3.933, 3.486, 3.148, 4.936, 3.259, 3.204, 2.194, 3.718",32.399100765558565,4.220059015197097,"4.22, 4.19, 4.22, 4.19, 4.22, 4.22, 4.23, 4.23, 4.23, 4.20, 4.23, 4.22, 4.22, 4.22, 4.22, 4.22, 4.23, 4.22, 4.22, 4.22",4968.28125
llama3.2-3b-q5_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,4.34269531880027,"5.627, 4.717, 3.819, 5.118, 4.941, 3.821, 4.660, 3.934, 4.655, 3.939, 6.285, 3.389, 4.315, 3.263, 2.597, 3.044, 3.045, 7.145, 3.883, 4.659",32.94609054931874,4.217563930265724,"4.21, 4.23, 4.22, 4.22, 4.22, 4.22, 4.22, 4.22, 4.22, 4.23, 4.20, 4.24, 4.24, 4.24, 4.24, 4.24, 4.20, 4.15, 4.19, 4.19",4968.28125
llama3.2-3b-q4_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",0.9492592499991588,4.322331132150066,"3.594, 5.643, 6.949, 8.126, 2.380, 4.652, 5.915, 2.718, 2.923, 6.362, 3.625, 3.003, 6.072, 2.707, 4.189, 4.616, 2.983, 2.773, 3.178, 4.036",36.04311006883393,4.7055126210744636,"4.76, 4.79, 4.78, 4.78, 4.77, 4.79, 4.78, 4.77, 4.78, 4.78, 4.78, 4.77, 4.61, 4.59, 4.61, 4.60, 4.59, 4.59, 4.59, 4.60",4378.171875
llama3.2-3b-q4_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,3.2163768005999374,"2.922, 3.365, 3.076, 3.740, 4.467, 4.495, 4.460, 3.070, 3.902, 2.337, 2.766, 2.417, 2.908, 2.765, 1.788, 1.789, 3.790, 3.331, 3.895, 3.046",37.60025539977046,4.590210604378802,"4.60, 4.59, 4.60, 4.58, 4.59, 4.56, 4.59, 4.59, 4.57, 4.61, 4.59, 4.58, 4.60, 4.60, 4.59, 4.59, 4.59, 4.59, 4.59, 4.59",4400.703125
llama3.2-3b-q4_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,3.0086994285998117,"3.058, 1.921, 2.665, 2.200, 4.681, 2.908, 2.375, 3.227, 4.498, 2.947, 3.042, 3.080, 3.330, 2.945, 2.664, 4.172, 2.766, 2.706, 1.858, 3.133",38.2991719769844,4.638908033740435,"4.64, 4.57, 4.65, 4.61, 4.64, 4.65, 4.65, 4.65, 4.65, 4.65, 4.64, 4.65, 4.65, 4.65, 4.65, 4.65, 4.65, 4.61, 4.65, 4.65",4420.21875
llama3.2-3b-q4_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,3.666682269249941,"4.763, 3.970, 3.223, 4.329, 4.167, 3.229, 3.927, 3.327, 3.927, 3.332, 5.305, 2.843, 3.641, 2.771, 2.206, 2.570, 2.570, 6.036, 3.267, 3.928",39.015717165109116,4.64547846282093,"4.64, 4.65, 4.65, 4.64, 4.64, 4.64, 4.64, 4.65, 4.65, 4.65, 4.62, 4.66, 4.66, 4.65, 4.65, 4.66, 4.66, 4.59, 4.66, 4.65",4379.546875
llama3.2-3b-q3_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.481551312999727,8.611591528050031,"6.364, 11.552, 14.043, 16.521, 4.720, 9.141, 12.109, 5.494, 5.863, 12.855, 7.302, 5.809, 12.072, 5.328, 8.414, 9.295, 5.912, 5.529, 6.089, 7.820",18.18640706647457,5.867136999156166,"6.00, 5.99, 5.97, 6.00, 5.99, 5.78, 5.93, 5.97, 5.98, 5.98, 5.95, 5.77, 5.75, 5.74, 5.75, 5.76, 5.77, 5.74, 5.75, 5.78",3038.671875
llama3.2-3b-q3_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,6.271505691300172,"5.515, 6.576, 6.000, 7.238, 8.688, 8.885, 8.689, 6.111, 7.833, 4.365, 5.230, 4.745, 5.513, 5.231, 3.518, 3.513, 7.444, 6.699, 7.830, 5.807",19.326432716635487,5.751211764630733,"5.73, 5.74, 5.77, 5.75, 5.76, 5.75, 5.76, 5.74, 5.74, 5.73, 5.76, 5.74, 5.76, 5.77, 5.76, 5.74, 5.77, 5.75, 5.77, 5.75",3060.5625
llama3.2-3b-q3_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,5.8312014172499405,"6.113, 3.498, 5.135, 4.068, 9.367, 5.515, 4.552, 6.293, 8.877, 5.714, 5.805, 5.997, 6.384, 5.713, 5.136, 8.109, 5.232, 5.326, 3.596, 6.193",19.851881887672985,5.82199045350556,"5.83, 5.78, 5.83, 5.83, 5.82, 5.83, 5.78, 5.82, 5.83, 5.83, 5.83, 5.83, 5.83, 5.83, 5.83, 5.84, 5.84, 5.83, 5.79, 5.83",3079.640625
llama3.2-3b-q3_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,7.232188576099906,"9.582, 7.919, 6.289, 8.703, 8.108, 6.288, 7.720, 6.382, 7.722, 6.678, 10.425, 5.613, 7.147, 5.232, 4.374, 5.043, 5.043, 12.175, 6.479, 7.723",19.826310972963945,5.8196900810528,"5.81, 5.83, 5.83, 5.83, 5.83, 5.83, 5.83, 5.82, 5.83, 5.83, 5.78, 5.83, 5.83, 5.82, 5.82, 5.82, 5.82, 5.73, 5.82, 5.83",3040.015625
