Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Peak Memory (MB)
Qwen3-1.7B-Q5_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.46272024100107956,2.63776832425001,"1.924, 3.443, 4.382, 5.210, 1.454, 2.854, 3.612, 1.665, 1.795, 3.873, 2.222, 1.806, 3.750, 1.628, 2.603, 2.765, 1.796, 1.675, 1.897, 2.400",53.315963380416136,7.35123135596443,"7.51, 7.44, 7.33, 7.24, 7.55, 7.53, 7.43, 7.55, 7.48, 7.18, 7.30, 7.24, 7.19, 7.30, 7.29, 7.28, 7.30, 7.28, 7.29, 7.29",2891.203125
Qwen3-1.7B-Q5_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.932361522500105,"1.729, 2.019, 1.849, 2.177, 2.652, 2.702, 2.655, 1.853, 2.349, 1.391, 1.638, 1.458, 1.801, 1.649, 1.075, 1.216, 2.275, 2.003, 2.352, 1.804",54.48327128206306,7.289538296987315,"7.28, 7.29, 7.29, 7.30, 7.30, 7.29, 7.29, 7.29, 7.30, 7.29, 7.28, 7.29, 7.28, 7.28, 7.29, 7.29, 7.30, 7.29, 7.29, 7.29",2926.0625
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.8373739249999743,"1.895, 1.137, 1.762, 1.257, 2.855, 1.714, 1.478, 2.013, 2.733, 1.806, 1.806, 1.890, 1.924, 1.768, 1.635, 2.565, 1.682, 1.766, 1.126, 1.936",55.42390449706064,7.295937927574277,"7.30, 7.29, 7.29, 7.29, 7.27, 7.29, 7.29, 7.30, 7.30, 7.29, 7.30, 7.29, 7.30, 7.31, 7.30, 7.30, 7.30, 7.30, 7.29, 7.30",2950.40625
Qwen3-1.7B-Q5_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,2.2220931829499024,"2.858, 2.388, 1.939, 2.599, 2.478, 1.946, 2.366, 1.992, 2.358, 2.021, 3.174, 1.903, 2.194, 1.644, 1.342, 1.561, 1.562, 3.767, 1.980, 2.371",57.51865894416644,7.275140539528458,"7.28, 7.30, 7.30, 7.30, 7.28, 7.28, 7.29, 7.30, 7.29, 7.28, 7.23, 7.28, 7.28, 7.28, 7.28, 7.28, 7.28, 7.14, 7.28, 7.28",2950.40625
Qwen3-1.7B-Q4_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.39029686499998206,2.233232006449998,"1.641, 2.945, 3.735, 4.387, 1.225, 2.402, 3.087, 1.425, 1.518, 3.272, 1.880, 1.506, 3.163, 1.382, 2.195, 2.364, 1.523, 1.426, 1.575, 2.016",62.99918129018992,8.10613248918812,"8.35, 8.26, 8.08, 8.00, 8.24, 8.23, 7.98, 8.11, 8.12, 7.93, 8.13, 8.04, 7.94, 8.10, 8.05, 8.10, 8.11, 8.11, 8.11, 8.12",2661.28125
Qwen3-1.7B-Q4_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.631968171599874,"1.439, 1.697, 1.556, 1.864, 2.226, 2.270, 2.228, 1.582, 2.005, 1.148, 1.370, 1.238, 1.532, 1.370, 0.925, 1.031, 1.923, 1.715, 2.009, 1.513",64.5102135793922,8.084508283014554,"8.11, 8.11, 8.10, 8.12, 8.11, 8.10, 8.11, 8.10, 8.12, 8.10, 8.07, 8.06, 8.06, 8.06, 8.06, 8.06, 8.05, 8.06, 8.06, 8.06",2661.28125
Qwen3-1.7B-Q4_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.5545780072001434,"1.606, 0.936, 1.488, 1.068, 2.443, 1.459, 1.224, 1.701, 2.330, 1.533, 1.532, 1.609, 1.647, 1.488, 1.387, 2.156, 1.414, 1.486, 0.952, 1.632",65.58702122372446,8.059230361871451,"8.06, 8.06, 8.06, 8.06, 8.05, 8.06, 8.06, 8.05, 8.06, 8.06, 8.06, 8.06, 8.06, 8.06, 8.06, 8.06, 8.06, 8.07, 8.05, 8.06",2671.71875
Qwen3-1.7B-Q4_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,1.8780216105496947,"2.439, 2.032, 1.629, 2.226, 2.085, 1.633, 1.992, 1.659, 2.011, 1.721, 2.666, 1.583, 1.846, 1.390, 1.141, 1.319, 1.322, 3.203, 1.671, 1.993",68.09052510187789,8.052633190028414,"8.05, 8.06, 8.06, 8.06, 8.05, 8.07, 8.07, 8.07, 8.07, 8.07, 7.99, 8.07, 8.07, 8.07, 8.07, 8.07, 8.07, 7.88, 8.06, 8.07",2671.71875
Qwen3-1.7B-Q3_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.6684976999968057,4.521282382050231,"3.314, 5.979, 7.628, 8.933, 2.455, 4.891, 6.294, 2.867, 3.061, 6.670, 3.807, 2.990, 6.417, 2.758, 4.438, 4.812, 3.064, 2.870, 3.145, 4.034",31.20518367016508,10.753666244336392,"11.21, 11.00, 10.46, 10.22, 10.83, 10.82, 10.58, 10.82, 10.82, 10.52, 10.83, 10.75, 10.56, 10.83, 10.75, 10.81, 10.80, 10.81, 10.82, 10.82",1997.328125
Qwen3-1.7B-Q3_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,3.262426267050432,"2.839, 3.404, 3.105, 3.771, 4.477, 4.590, 4.479, 3.180, 4.064, 2.232, 2.689, 2.457, 3.066, 2.688, 1.813, 2.005, 3.854, 3.477, 4.070, 2.989",32.37625812557284,10.79389667995417,"10.81, 10.82, 10.73, 10.82, 10.82, 10.82, 10.74, 10.82, 10.81, 10.72, 10.81, 10.81, 10.81, 10.82, 10.81, 10.73, 10.72, 10.79, 10.83, 10.83",2018.1875
